ID,Day Number,Week ID,Week Number,Focus,Scheduled Date,Notes
1,1,1,1,Decode Ohm's/Kirchhoff laws with AI co-pilots,2026-01-12,Focus: Decode Ohm's/Kirchhoff laws with AI co-pilots
2,2,1,1,Decode Ohm's/Kirchhoff laws with AI co-pilots,2026-01-13,"Focus: Decode Ohm's/Kirchhoff laws with AI co-pilots, Component characterization lab"
3,3,1,1,Component characterization lab,2026-01-14,"Focus: Component characterization lab, Instrumentation setup & lab hygiene"
4,4,1,1,Instrumentation setup & lab hygiene,2026-01-15,Focus: Instrumentation setup & lab hygiene
5,5,1,1,Deep work,2026-01-16,Focus: Deep work
6,6,1,1,"Integration, reflection, portfolio updates",2026-01-19,"Consolidate notes, update demos, plan next sprint."
7,7,1,1,Rest & recharge,2026-01-20,"No scheduled work. Prioritize health, family, and hobbies."
8,1,2,2,Wokwi simulation marathon,2026-01-20,Focus: Wokwi simulation marathon
9,2,2,2,Wokwi simulation marathon,2026-01-21,"Focus: Wokwi simulation marathon, Power-supply troubleshooting drills"
10,3,2,2,Power-supply troubleshooting drills,2026-01-22,Focus: Power-supply troubleshooting drills
11,4,2,2,Weekly review & debugging retro,2026-01-23,Focus: Weekly review & debugging retro
12,5,2,2,Deep work,2026-01-26,Focus: Deep work
13,6,2,2,"Integration, reflection, portfolio updates",2026-01-27,"Consolidate notes, update demos, plan next sprint."
14,7,2,2,Rest & recharge,2026-01-28,"No scheduled work. Prioritize health, family, and hobbies."
15,1,3,3,Truth tables → Logisim simulations,2026-01-28,Focus: Truth tables → Logisim simulations
16,2,3,3,Truth tables → Logisim simulations,2026-01-29,"Focus: Truth tables → Logisim simulations, FSM practice in C"
17,3,3,3,FSM practice in C,2026-01-30,"Focus: FSM practice in C, Signal integrity primer"
18,4,3,3,Signal integrity primer,2026-02-02,Focus: Signal integrity primer
19,5,3,3,Deep work,2026-02-03,Focus: Deep work
20,6,3,3,"Integration, reflection, portfolio updates",2026-02-04,"Consolidate notes, update demos, plan next sprint."
21,7,3,3,Rest & recharge,2026-02-05,"No scheduled work. Prioritize health, family, and hobbies."
