ID,Name,Status,Phase,Repo URL,Due Date
15,Career Brand Launchpad,Planned,Phase 4 – Embedded Linux Bridge,https://github.com/khashyap0803/career-brand,2026-11-01
3,Digital Logic Playground,Planned,Phase 1 – Hardware Foundations & Modern Embedded C++,https://github.com/khashyap0803/digital-logic-playground,2026-11-30
8,Digital Twin Provisioning Portal,Planned,Phase 2 – Real-Time Systems & Connected Firmware,https://github.com/nanifour/digital-twin-portal,2026-05-03
12,Edge DevOps Observability Pipeline,Planned,"Phase 3 – Edge Intelligence, Safety & Manufacturing Readiness",https://github.com/nanifour/edge-devops-pipeline,2026-08-09
7,Fleet Diagnostics Telemetry Stack,Planned,Phase 2 – Real-Time Systems & Connected Firmware,https://github.com/nanifour/fleet-diagnostics-stack,2026-04-26
2,Foundation Electronics Notebook,In Progress,Phase 1 – Hardware Foundations & Modern Embedded C++,https://github.com/khashyap0803/foundation-electronics-notebook,2026-11-16
10,Functional Safety Automation Harness,Planned,"Phase 3 – Edge Intelligence, Safety & Manufacturing Readiness",https://github.com/nanifour/functional-safety-harness,2026-07-19
14,Intelligence & Analytics Console,Planned,Phase 4 – Embedded Linux Bridge,https://github.com/khashyap0803/embedded-analytics-console,2026-09-27
1,LabOps Automation Suite,In Progress,Phase 1 – Hardware Foundations & Modern Embedded C++,https://github.com/khashyap0803/embedded-labops,2026-11-23
11,Manufacturing Test Automation Bench,Planned,"Phase 3 – Edge Intelligence, Safety & Manufacturing Readiness",https://github.com/nanifour/manufacturing-test-bench,2026-08-02
13,Productization UX Polish,Planned,Phase 4 – Embedded Linux Bridge,https://github.com/khashyap0803/productization-ux,2026-09-06
4,Protocol Explorer Pack,Planned,Phase 1 – Hardware Foundations & Modern Embedded C++,https://github.com/khashyap0803/protocol-explorer,2026-12-21
6,Secure OTA Update Orchestrator,Planned,Phase 2 – Real-Time Systems & Connected Firmware,https://github.com/nanifour/secure-ota-orchestrator,2026-04-12
9,TinyML Sensor Fusion Rig,In Progress,"Phase 3 – Edge Intelligence, Safety & Manufacturing Readiness",https://github.com/nanifour/tinyml-sensor-fusion,2026-06-28
5,Zephyr Multi-Protocol Connectivity Gateway,In Progress,Phase 2 – Real-Time Systems & Connected Firmware,https://github.com/nanifour/zephyr-connectivity-gateway,2026-03-29
